id,text,created_at,state,county,city
1384649190538551297,"They didn’t give out stickers but I had to make my status known somehow, right? #vaxxed #vaxxedgirlsummer… https://t.co/FMSdd9kFjX",2021-04-20 23:24:27,Colorado,None,None
1384628698838552584,"Who's got two thumbs &amp; is fully vaccinated?
This girl! 
#covidvacccinated #getvaccinatedyoufilthyanimals… https://t.co/5hpZuQNG5w",2021-04-20 22:03:01,Connecticut,New London County,New London
1384623297669779472,I’m immune bitches. #ThisIsOurShot #VAXXED https://t.co/1Rm1fA8Dq8,2021-04-20 21:41:33,Massachusetts,Suffolk County,Boston
1384622782869385219,2 for 2! Get ‘er done! All boxes checked. #vaxxed up in this biatch! I have seen crazy gains in my cell phone cover… https://t.co/YrffM2mVez,2021-04-20 21:39:31,Nevada,Clark County,Las Vegas
1384606277154791425,"“The good thing about science is that it’s true whether or not you believe in it”  - @neildegrassetyson 

#vaxxed💉… https://t.co/zFMPsa0kV6",2021-04-20 20:33:55,District of Columbia,District of Columbia,Washington
1384603318106812423,You’re telling me I waited all this time for a needle and I didn’t even get a piercing out of it? 🤔 #Vaxxed https://t.co/0MnGCobDQB,2021-04-20 20:22:10,California,Alameda County,Oakland
1384598459492179969,Done with #2. Still will be masking and playing it safe! #vaxxed https://t.co/q9BqKsLG9V,2021-04-20 20:02:51,California,Los Angeles County,Los Angeles
1384586909335400453,I got my #vaxxpass laminated yesterday LOL #vaxxed,2021-04-20 19:16:58,District of Columbia,District of Columbia,Washington
1384586249797832731,"2nd dose: ✅
Mami is now fully vaccinated. Sorry, not sorry, Rona. 🤣 #covidvacccine #vaccinationdone✔️ #moderna… https://t.co/d4BsuB3mfB",2021-04-20 19:14:20,North Carolina,Cumberland County,Fayetteville
1384583152639873027,"They Get #Taxed, but Not #Vaxxed https://t.co/95G3jLISt7 @theatlantic https://t.co/3vTDjClAEk",2021-04-20 19:02:02,Pennsylvania,Philadelphia County,Philadelphia
1384577106743603205,#Vaxxed in Atlantic City https://t.co/0JkZiCoEEC,2021-04-20 18:38:01,New Jersey,Monmouth County,Freehold
1384564629330923526,This lady has two doses of the #covid #vaccine !!! FINALLY! #teacher #vaxxed https://t.co/Y1sZt10d6E,2021-04-20 17:48:26,Connecticut,None,None
1384564225020936192,#babyyoda keeping us safe as we head out to visit our son #familytime #vaxxed💉 @lifeissnacks @tomhoebbel https://t.co/8PJPRYfG8f,2021-04-20 17:46:49,New York,Tompkins County,Ithaca
1384556367390908419,Got #vaxxed today. Now I can go back to licking door handles at convenience stores. #vaccine #peaceofmind,2021-04-20 17:15:36,New Jersey,None,None
1384551794169327616,Fully #vaxxed. https://t.co/MLA8MHIMSo,2021-04-20 16:57:26,Ohio,Hamilton County,Cincinnati
1384551672010223619,"I’m fully vaccinated! 💪🏾 
#moderna #SecondShot #vaxxed #LetsBeatCovid",2021-04-20 16:56:56,Florida,Miami-Dade County,Miami
1384548403238031364,second pfizer dose today #vaxxed #420 https://t.co/otDPzYVp7Z,2021-04-20 16:43:57,Wisconsin,Milwaukee County,Milwaukee
1384544897043214338,No panic attack but the worker did have to ask me for my name 3 times before I was able to muster an answer 😭 she’s… https://t.co/2fRx8QT2cs,2021-04-20 16:30:01,New York,Kings County,Brooklyn
1384543723216850946,": What a little prick...

#fuckcovid19 #vaxxed https://t.co/g6vzzvaTkc",2021-04-20 16:25:21,California,None,None
1384516167767822343,So I’m #vaxxed💉 does that make me a #vaxinista ? https://t.co/5jBivGXV0P,2021-04-20 14:35:52,Georgia,Fulton County,Atlanta
1384515172929351682,For 4/20 I got litty off the Pfizer #vaxxed,2021-04-20 14:31:54,Missouri,St Louis City,St Louis
1384480884632391681,"@_drazzari It’s a huge problem, that’s why this isn’t going away anytime soon unfortunately. Relieved that our whol… https://t.co/meMZDZkFOP",2021-04-20 12:15:39,California,None,None
1384364411410866177,Colton Berrett &amp; his mother were interviewed on the bus tour of #Vaxxed I. Colton suffered severe injuries due to t… https://t.co/GrlB8gDYoe,2021-04-20 04:32:50,None,None,None
1384325713130491908,"World Press Photo of Year: 

This #COVID19 hug from São Paulo sez so much &amp; we still have a long way to go, Friends… https://t.co/vUFW6ZA8ZH",2021-04-20 01:59:04,Tennessee,Davidson County,Nashville
1384312148470366208,If you don’t post your #covidvacccine card to social media does the vaccine still work? 😂 #vaxxed💉 https://t.co/KzW65ZpvJ2,2021-04-20 01:05:10,Massachusetts,Hampden County,Springfield
1384311007841980418,Today all members of my family in 3 states are vaccinated. The crushing anxiety of the last year has subsided and I… https://t.co/luVoB6cPHJ,2021-04-20 01:00:38,Texas,Travis County,Austin
1384301822488109062,Obligatory #vaxxed picture https://t.co/Bhf75RSfy2,2021-04-20 00:24:08,New York,Queens County,Queens
1384299254131224576,Getting to see people I haven’t seen in literally over a year is the brightest light in life in awhile. #vaxxed,2021-04-20 00:13:55,None,None,None
1384282304550342660,Obligatory Vaccination Card Selfie Post. #Vax #Vaccine #vaxxed💉 https://t.co/0EDLAr499U,2021-04-19 23:06:34,None,None,None
1384266891053568000,@BethanyClough haha…. no. Everyone is masked and spaced and 1/3 are online still. We should be unmasked in a couple… https://t.co/9bIcvPgriH,2021-04-19 22:05:19,California,Fresno County,Fresno
1384264344981049346,"First Pfizer shot in. The Oakland Coliseum FEMA run vaccination center is very efficient, I was in and out within m… https://t.co/IfSTgl4ZI7",2021-04-19 21:55:12,California,San Mateo County,South San Francisco
1384263207561228290,not sure it actually works unless you post? at least that's what I hear? #teampfizer #covidvacccine #vaxxed💉 @ Cala… https://t.co/GwoXVl3dDJ,2021-04-19 21:50:41,South Carolina,Horry County,North Myrtle Beach
1384243144984727554,"Vaccinated.
#vaxxed #wecandothis 

I am so glad we had the opportunity. I am more glad that most of my family has g… https://t.co/1bNCGAw0fC",2021-04-19 20:30:58,Oregon,Multnomah County,Portland
1384226590352048131,"DC Marijuana Justice group has rolled 4,200 joints to distribute on 4/20 for those who can prove they’ve been… https://t.co/kgLt2s7PPb",2021-04-19 19:25:11,District of Columbia,District of Columbia,Washington
1384217597428715524,"The New Divide. 

#vaccines #VaxXed #Covishield #COVID19 #healthcare #BigPharma https://t.co/NikEB1Xwjk",2021-04-19 18:49:27,Arizona,None,None
1384212725463543820,"@Dark_Link_1996 Both U #TOOL &amp;My STRONG immune system fought it off,NOT the ton of #bigPharma #VAXXED I was tricked… https://t.co/3gQPEZVZ6j",2021-04-19 18:30:05,None,None,None
