tweet1,tweet2,tweet3,tweet4,tweet5,tweet6,tweet7,tweet8,tweet9,tweet10
It is too early for a safe vaccine #CovidVaccine Ignore: @^@*@1382107184935407618@^@*@Florida@^@*@None,#Russia Beat the World to a Vaccine so Why Is It Falling Behind on Vaccinations https://t.co/uztSuXnQQe #COVID19 https://t.co/DgAtFaZawv Ignore: @^@*@1382107031625093121@^@*@Nevada@^@*@Las Vegas,#CovidVaccine done!After recovering from my own bout with #COVID19  adding in a couple of Moderna vaccines I go https://t.co/ZauWI84YE4 Ignore: @^@*@1382106762438926338@^@*@None@^@*@None,Perspective #JohnsonandJohnson #CovidVaccine https://t.co/HFpLUUrKLU Ignore: @^@*@1382106324813643780@^@*@New Jersey@^@*@Red Bank,First Covid vaccine shot in the books. No noticeable issues so far!!  #COVID19 #CovidVaccine #Moderna https://t.co/rza535wSxX Ignore: @^@*@1382106178918961156@^@*@Pennsylvania@^@*@None,Got my second dose of vaccine today : #PfizerVaccine #CovidVaccine Ignore: @^@*@1382106093359407104@^@*@Illinois@^@*@Raleigh,Key points: less than one in a mil vaccinations paused in abundance of caution the monitoring system WORKS! and https://t.co/cB4hCt2rTI Ignore: @^@*@1382105859686338561@^@*@Maryland@^@*@Baltimore,Here is the latest allocation of #COVID19 vaccine for the week of April 19. These numbers do not include any Johnso https://t.co/NWJYvN0K44 Ignore: @^@*@1382105798927597572@^@*@Washington@^@*@Olympia,In clinic today almost ALL of my patients had either already gotten their #CovidVaccine or were scheduled.  https://t.co/RfSB9EGnaQ Ignore: @^@*@1382105083580608515@^@*@Illinois@^@*@Chicago,FISM News  April 13 2021https://t.co/I4aYtmwPrU#DaunteWright #BidenBorderCrisis #NewZealand #CovidVaccine https://t.co/IMNeyQmpAE Ignore: @^@*@1382105064160911360@^@*@None@^@*@None
There is NO REASON for people to wait in these long lines! It defeats the purpose of SOCIAL DISTANCE. Sign up close https://t.co/XfBRZRxzlN Ignore: @^@*@1382104425615958017@^@*@Nevada@^@*@Las Vegas,8/ We must continue to spread awareness of the benefits of getting vaccinated as well as make the vaccine more acce https://t.co/TTey1h69Mt Ignore: @^@*@1382104290416820228@^@*@Texas@^@*@Arlington,When your house is for sale and you gotta leave for showings but you had your second #Moderna shot and you think yo https://t.co/cxpjkDG5nB Ignore: @^@*@1382104129946931207@^@*@Michigan@^@*@None,The #JohnsonandJohnson vaccine has made up a small part of Alabamas #CovidVaccine arsenal. But losing it will comp https://t.co/2J4CpT1NtQ Ignore: @^@*@1382103923318722570@^@*@Alabama@^@*@Mobile,Just signed up for my second Pfizer #CovidVaccine this coming Sunday. Cant wait for my superpowers to fully arrive https://t.co/azY7itwi5n Ignore: @^@*@1382103868562055173@^@*@Oregon@^@*@None,Many are surprised to learn #COVIDvaccine development began two decades ago. Dr. Fauchi shares the story in https://t.co/2lNI7Nxbfq Ignore: @^@*@1382103811486007302@^@*@Massachusetts@^@*@Boston,Next week is going to be great!#AppleEvent on Tuesday and getting my second #CovidVaccine  on ThursdayMaybe Il https://t.co/Tsnk0Fyi5H Ignore: @^@*@1382103551925698567@^@*@Missouri@^@*@St Louis,Traffic control/parking lot volunteers needed for this Thursdays April 15 Mass COVID19 Vaccination clinic at th https://t.co/qBdb265SeF Ignore: @^@*@1382103493289201664@^@*@Washington@^@*@Walla Walla,Its good #smallbiz 2 get #vaccinated #CovidVaccine #COVID19 #smallbusinesses https://t.co/Obzt6oTKMJ Ignore: @^@*@1382103452436856832@^@*@District of Columbia@^@*@Washington,Its good #smallbiz 2 get #vaccinated #SmallBusinesses #CovidVaccine #COVID19 https://t.co/Obzt6oTKMJ Ignore: @^@*@1382102863355248648@^@*@District of Columbia@^@*@Washington
Got my first dose of #CovidVaccine  today... I dont know why but I felt a bit emotional after. https://t.co/8mGlZvUxxs Ignore: @^@*@1382102829595205632@^@*@California@^@*@None,@pfizer THANK YOU for my first dose! Wasnt painful left no bruises no after effects I absolutely feel great! I https://t.co/NG0FFRtWt4 Ignore: @^@*@1382102307689562115@^@*@Nevada@^@*@Las Vegas,Abt JNJ #COVIDVaccine  even AZN for that matter if its limited women let alone 1 in more than a million irre https://t.co/mN6WFkcWPD Ignore: @^@*@1382102214639038470@^@*@None@^@*@None,Professors are assigning extra credit and encouraging students to get the COVID vaccine to receive the extra cred https://t.co/sOChNXyxkx Ignore: @^@*@1382102126801879041@^@*@Indiana@^@*@Brownsburg,.@NorthwesternMed thank you for a truly firstrate vaccination experience. And thank you for coming around on the v https://t.co/1fsbnUT9lW Ignore: @^@*@1382101823427862531@^@*@Illinois@^@*@Chicago,NEED SOME ADVICE: I get my second shot of Moderna tomorrow which Ive heard can be rough. Any suggestions on how to https://t.co/b9JV5uNcvk Ignore: @^@*@1382101198489190405@^@*@New York@^@*@New York,They werent kidding about that second shot wipeout. Just over four hours since vaccination and I already have a f https://t.co/JY6AUzgjnk Ignore: @^@*@1382101127429242887@^@*@Georgia@^@*@Atlanta,Please tell me @BilldeBlasio and @NYGovCuomo got the #CovidVaccine   The #JohnsonandJohnson one. #billdebasio https://t.co/eI5nqsN8Oo Ignore: @^@*@1382101120324091910@^@*@New York@^@*@New York,Keep this in mind regarding the @JNJCares #Covid19 vaccine: The chances of developing these complications are less https://t.co/uLJqObd3PB Ignore: @^@*@1382100725342339076@^@*@Florida@^@*@Tampa,UPDATED STORY: #Michigan halts JampJ vaccinations as sites scramble to switch to Moderna or Pfizer https://t.co/Q2Dw09xZHm Ignore: @^@*@1382100421397913601@^@*@Michigan@^@*@Detroit
Second Pfizer shot done!!!! So Excited!!!!  #CovidVaccine #Pfizer https://t.co/arjdTmycms Ignore: @^@*@1382100252107362304@^@*@Ohio@^@*@Cleveland,Should We Write an Ode to the COVID19 Vaccine #COVID19vaccine #COVIDvaccine #Vaccines Please click on the link: https://t.co/nq3p4eqz5V Ignore: @^@*@1382100215470161928@^@*@Maryland@^@*@None,2nd #CovidVaccine done! Thank you @101stAASLTDIV and @wolsteincenter! Ignore: @^@*@1382099978873667586@^@*@Ohio@^@*@None,So how about those #bragging  they got the #JohnsonandJohnson single shot Feelin like a big #shot now https://t.co/o4hd7qMz0V Ignore: @^@*@1382099974368980994@^@*@New York@^@*@New York,Just arrived at CVS for PFIZER jab #2 !!! #CovidVaccine Ignore: @^@*@1382099564057010180@^@*@Pennsylvania@^@*@Philadelphia,Holocaust survivor has a message to Americans...Medical mandates today are a major step backwards toward a fas https://t.co/0UWQqp7Bd4 Ignore: @^@*@1382099219520004098@^@*@Alaska@^@*@None,The U.S has put a halt on distributing the #JohnsonJohnsonvaccine. Learn more here: https://t.co/lUBjRuC46O https://t.co/Laa19OiTEN Ignore: @^@*@1382098829680508929@^@*@New Jersey@^@*@Lakewood,Just made my appointment to get the Bill and Melinda Gates microchip vaccine @hasanthehun. Cant wait to get tracke https://t.co/xnvZTyKZ9Y Ignore: @^@*@1382098603758428160@^@*@Washington@^@*@Seattle,First dose! Lesssgo!#furry #furryart #wolf #canine #CovidVaccine https://t.co/Yimaq7VgR1 Ignore: @^@*@1382098507843174407@^@*@Texas@^@*@None,According to @TNDeptofHealth in Health Committee today @GovBillLee is okay with private businesses denying service https://t.co/FKQrwTJden Ignore: @^@*@1382097736997216262@^@*@None@^@*@None
Wouldnt it be great if there was a reward system for those received #CovidVaccine checkout lines @TSA movie s https://t.co/tcf3aZavJv Ignore: @^@*@1382096850740682752@^@*@Hawaii@^@*@Honolulu,#JohnsonandJohnson cant even make baby powder right... no thanks. Also they dont use #MRNA they use #Adenovirus https://t.co/ouh8dWUVb8 Ignore: @^@*@1382096278327283712@^@*@New York@^@*@None,2nd shot done. And thats that!  #CovidVaccine https://t.co/Z4V6PxEcn4 Ignore: @^@*@1382095788378046471@^@*@Georgia@^@*@Atlanta,Already been a little over six hours since my first dose and aside of the ungodly arm pain Im experiencing right https://t.co/MWnp0KXIDY Ignore: @^@*@1382095392842649601@^@*@Florida@^@*@None,Got my COVID vaccine today!!! Barely felt it!! #covidvaccine #pfeizersarsco2vac #MakingHistoryAtOhioHealth https://t.co/sOXpbRMUnf Ignore: @^@*@1382094916545875970@^@*@Ohio@^@*@Columbus,@Anewdaw36571218 @lindyli @joncoopertweets @USMC I got Moderna. A few side effects like aches went right away. Im https://t.co/NQZgTbMjf7 Ignore: @^@*@1382094895192629249@^@*@Connecticut@^@*@None,Child I was about to lose my shit!! I have an enlarged lymph node on my chest next to the shoulder of the arm I got https://t.co/cMzTX1TzKc Ignore: @^@*@1382094662354280451@^@*@Michigan@^@*@Detroit,No appointment needed! Location is Tuckaseegee amp Freedom Drive. #CovidVaccine @FOX46News https://t.co/UUNTlHl1ko Ignore: @^@*@1382094528559992833@^@*@North Carolina@^@*@Charlotte,Fully vaxxed as of today!  #PfizerGang #CovidVaccine #GetVaccinated Thankful for science and all of our #HealthcareHeroes Ignore: @^@*@1382094488651362304@^@*@Utah@^@*@Salt Lake City,Tune into our Facebook Live tomorrow at 3:00 PM. Well be discussing adolescence and the COVID19 vaccine. #COVID19 https://t.co/KZqyBbZSaR Ignore: @^@*@1382094407600586758@^@*@Alabama@^@*@Birmingham
This looks epic #LosAngeles! Get in on the fun amp get vaccinated!!  #VaccinesSaveLives #GetVaccinated https://t.co/6U7mPVrbXf Ignore: @^@*@1382094248946720768@^@*@California@^@*@Los Angeles,Its happening! #GetVaccinated #CovidVaccine https://t.co/zWmxZDKa8g Ignore: @^@*@1382094135260114947@^@*@California@^@*@San Jose,Nothing feels better than knowing I got my second #modernavaccine  Im one of the millions of Americans rolling up https://t.co/nbYpxEPkPX Ignore: @^@*@1382094021309390854@^@*@Texas@^@*@None,Do you have questions about the COVID19 Vaccine Check out this excellent Tyler Perry Special breaking down all t https://t.co/ns2c35MSKP Ignore: @^@*@1382092689106112516@^@*@Iowa@^@*@None,#ComingUp tomorrow on the #NickandKyleShow with @nmorgasenradio amp @KHirsk5PM ET: https://t.co/dX3C7IfJGmTopics: https://t.co/AUzkYN9ib3 Ignore: @^@*@1382092481735532544@^@*@New York@^@*@None,Vaxed up and ready to party!!  SO grateful! in 2 weeks just in time for my 40th birthday!  #YayScience https://t.co/2Vj201xVFs Ignore: @^@*@1382092007749922819@^@*@Oklahoma@^@*@None,In need of a #Moderna #CovidVaccine appointment in Florida Unusually so Publix has their booking site still open https://t.co/9oy8sf7tBk Ignore: @^@*@1382091646444175364@^@*@Florida@^@*@None,Glad to see #covidvaccines #ramadan #Trending on #twitter right now! #MedTwitter #NurseTwitter remember this for https://t.co/RSXcu2zQgR Ignore: @^@*@1382091498490060802@^@*@Pennsylvania@^@*@None,I took my first dose of the #COVIDvaccineHelp end the pandemic by taking the vaccine when its available to you. https://t.co/SFNeWr7Cpr Ignore: @^@*@1382091287797628928@^@*@Texas@^@*@Houston,The @US_FDA and the @CDCgov are recommending the US pause Johnson amp Johnson #COVIDvaccine distribution after report https://t.co/CJujgbmbzo Ignore: @^@*@1382090233710252043@^@*@Massachusetts@^@*@Cambridge
Worth the 2 Minutes to hear what YOUR Soldiers have to say about Service to the Nation in the fight against https://t.co/O2EM4lVZaO Ignore: @^@*@1382090130509459457@^@*@Texas@^@*@None,#April13th #TerrificTuesday  @Rana4NY Good Evening Rana Novini @Rana4NY . Rana Novinis Live in #NBC4NY. https://t.co/05TguPM6v2 Ignore: @^@*@1382089972799434755@^@*@New York@^@*@New York,Please see important information from the @US_FDA amp @CDCgov regarding the Johnson amp Johnson #CovidVaccine.  https://t.co/Y8bkXo0Esu Ignore: @^@*@1382089769237237763@^@*@North Carolina@^@*@Winston-Salem,Second shot and done!! #CovidVaccine #cvs #Pfizer @ CVS Pharmacy https://t.co/OQ1Fb78ptS Ignore: @^@*@1382089639868076032@^@*@North Carolina@^@*@Winston-Salem,#COVID19 #CovidVaccine #vaccine #vaccines #Moderna #Pfizer #AstraZeneca #Florida #Jacksonville #Tallahassee https://t.co/1JMCHvbtPe Ignore: @^@*@1382089601792278532@^@*@Florida@^@*@None,@stephjantzen Bottom line is that people should not freak out if theyve recently gotten a @JNJNews #CovidVaccine recently. Ignore: @^@*@1382089501619712000@^@*@Illinois@^@*@Naperville,Read Quick #COVID19 #CovidVaccine https://t.co/SeW3Ij4pro Ignore: @^@*@1382089337500700673@^@*@None@^@*@None,ProVaxxer right here.  Feels soooo good.#CovidVaccine #dc #DCStatehood https://t.co/rLejajk2PX Ignore: @^@*@1382089286636421120@^@*@District of Columbia@^@*@Washington,#JandJ pause comes out of an abundance of caution as federal regulators investigate rare cases of people getting https://t.co/xbeULrLOg0 Ignore: @^@*@1382089255665733634@^@*@Illinois@^@*@Chicago,No Paul. Theyre definitely still the dumb ones. #CovidVaccine https://t.co/e3scqTdspM Ignore: @^@*@1382089126023954446@^@*@Vermont@^@*@None
Experts say theyre still trying to investigate whether the vaccine actually caused these rare side effects. My lat https://t.co/ZNEZE2F8v5 Ignore: @^@*@1382088829339897865@^@*@New York@^@*@None,Dont throw out your umbrella in the middle of a rainstorm just because youre not getting wet. Get your #CovidVaccine. Ignore: @^@*@1382088739304902661@^@*@North Carolina@^@*@Raleigh,Health experts say majority who received #JohnsonandJohnson #CovidVaccine and dont show symptoms shouldnt be conc https://t.co/dgqBsH6f9t Ignore: @^@*@1382088673525706760@^@*@New York@^@*@New York,Shot one done! #CovidVaccine Ignore: @^@*@1382087811642318850@^@*@South Dakota@^@*@None,.00008571 Any guesses Heres a clue: #CovidVaccine Ignore: @^@*@1382087800661680129@^@*@New York@^@*@None,#psa @StaplesStores will laminate your #covidvaccine card for free!! https://t.co/BqPmk7Imqb Ignore: @^@*@1382087764296994819@^@*@Massachusetts@^@*@Boston,@CoMo_HealthDept Thank you! I got my second jab today! Still wearing and making masks too! Our familys https://t.co/UPJritWZKg Ignore: @^@*@1382087577549819904@^@*@Missouri@^@*@Columbia,Are Employers Required to Pay For Employee Time Spent Receiving COVID19 Vaccine https://t.co/gW5FC3i8i0 #EmpLaw https://t.co/h6BJkvqDOU Ignore: @^@*@1382087447631294475@^@*@Colorado@^@*@None,Atlanta: @EmoryUniversity physician Dr. Carlos Del Rios says 1 out of a million will have severe side effects from https://t.co/QWJ2V4CPpy Ignore: @^@*@1382087080537382924@^@*@Georgia@^@*@Atlanta,Nbd just doin my part to protect the galaxy! #Moderna #GetVaccinated #CovidVaccine https://t.co/BzYMGwwGU5 Ignore: @^@*@1382086747333464070@^@*@Minnesota@^@*@None
Circle circle dot dot now Ive had my Covid shots. #CovidVaccine https://t.co/thRTgk3Pgk Ignore: @^@*@1382086724281626630@^@*@Arkansas@^@*@None,Superb thread of #CovidVaccine information presented in clear diagrams  suitable for sharing widely  unroll pleas https://t.co/XJXExXLpQP Ignore: @^@*@1382086530790006789@^@*@Virginia@^@*@Suffolk,Have you or someone you know still waiting to get the Covid vaccine Check out EmbryHealth! #phoenix #CovidVaccine https://t.co/JIgP6qRVqa Ignore: @^@*@1382086232281292800@^@*@Arizona@^@*@Phoenix,24 hours post the second dose of the vaccine. My body hurt my stomach hurt and my left arm hurt so badly too. #CovidVaccine #COVID19 Ignore: @^@*@1382086221921411076@^@*@Texas@^@*@Dallas,Today @CDCgov and @US_FDA recommended that the use of the Johnson amp Johnson #Janssen #COVIDvaccine be PAUSED in https://t.co/2xczFt6OX8 Ignore: @^@*@1382085989116612614@^@*@None@^@*@None,COVID19 Vaccination: Setting Up OnSite Programs https://t.co/M7i6nyQhI3 #EmpLaw #SHRM #HR #COVIDVaccine @JacksonLewisPC Ignore: @^@*@1382084930981748738@^@*@Colorado@^@*@None,This is the way. #COVID19  #CovidVaccine  #DoingMyPart #ThisIsTheWay #odphi #ZoomBackground https://t.co/D4SBcSOUNx Ignore: @^@*@1382084504995631109@^@*@Texas@^@*@Dallas,Get your vaccine NOW! #COVID19 #CovidVaccineThe warning signs of a longer pandemic https://t.co/5w32F6TnRm Ignore: @^@*@1382084490953117697@^@*@Massachusetts@^@*@Boston,Second dose vaccination today!! Very thankful to science and Dolly Parton equally #COVID19 #CovidVaccine Ignore: @^@*@1382084408165986306@^@*@Missouri@^@*@St Louis,This is important. The Pfizer and Moderna vaccines are both available. We need to get as many people vaccinated as https://t.co/sUHwbrUtqs Ignore: @^@*@1382084135892746243@^@*@None@^@*@None
.NewOrleansBA: The State of Louisiana has launched a new #COVIDVaccine hotline that you can call to schedule appoin https://t.co/HTcI9XjE0z Ignore: @^@*@1382084028262715395@^@*@Louisiana@^@*@New Orleans,@OregonGovBrown @OHAOregon @CDCgov @US_FDA So that means there wont be an allinone available in the immediate fu https://t.co/VDZmQhiCPd Ignore: @^@*@1382083919479140352@^@*@Oregon@^@*@None,In 2 weeks my immune system will be fully operational!#GetVaccinated #CovidVaccine #vaccine #COVID19 #teamPfizer https://t.co/nrXfECHQ9E Ignore: @^@*@1382083795562680331@^@*@Virginia@^@*@None,Anyone here who is #chronicallyill did the #Moderna or #Pfizer vaccine yet Would you be willing to share your expe https://t.co/pjeoGfGnbw Ignore: @^@*@1382083324001325060@^@*@New Jersey@^@*@None,Today was the day! #Pfizer #vaccine #vaccinated  1 down 1 to go! #CovidVaccine https://t.co/aN6RNqHCep Ignore: @^@*@1382083120283975682@^@*@Ohio@^@*@Columbus,All shot up and feeling great. Join me!#ᴠᴀᴄᴄɪɴᴇssᴀᴠᴇʟɪᴠᴇs #ɢᴇᴛᴠᴀᴄᴄɪɴᴀᴛᴇᴅ #secondshot #covidvaccine #science https://t.co/5cRUGHQbQs Ignore: @^@*@1382082963421155330@^@*@California@^@*@San Rafael,First Dose. Thats the tweet. As you were.   #covidvaccine #PfizerVaccine https://t.co/0WvEUC0uj5 Ignore: @^@*@1382082950158807040@^@*@Georgia@^@*@None,Were #2! Were #2! #TeamPfizer #2WeeksUntilHugs #DoYourPart #CovidVaccine https://t.co/ckg8G1XNTy Ignore: @^@*@1382082075713540099@^@*@Indiana@^@*@Indianapolis,19000 Are dead by #Kemp DemocratGOP led #Georgia governmentsI warned GA not to receive the Johnson amp Johnson https://t.co/A76MuzXIis Ignore: @^@*@1382081927528771584@^@*@Georgia@^@*@None,Recent studies show the efficacy of covid vaccine is directly correlated to whether you share your vaccine card on https://t.co/LVKTWlU0Y8 Ignore: @^@*@1382081403492265986@^@*@Minnesota@^@*@None
