id,text,created_at,state,county,city
1384955561981222920,I got my 1st #Moderna out at a rural island clinic and had some throat swelling and hives. It wasn't extreme enough… https://t.co/YDhcKeDnK6,2021-04-21 19:41:51,Washington,King County,Seattle
1384955560966111233,"If you have #MCAS, a history of #anaphylaxis, or had throat swelling/rash w/ your first shot, I *HIGHLY ENCOURAGE*… https://t.co/x3KXsBcU2q",2021-04-21 19:41:51,Washington,King County,Seattle
1384955557954588678,"Moderna Shot #2: 
How it started --&gt; How it's going

(A thread)
#vaccinated #Moderna #highrisk #importantwarning… https://t.co/VvA2aY11rR",2021-04-21 19:41:50,Washington,King County,Seattle
1384955368393031685,Thank you! #Europe #EU #EuropeanUnion #COVID19 #COVIDEmergency2021 #AstraZeneca #Pfizer #Moderna #COVIDVaccine… https://t.co/fKIRTinn7W,2021-04-21 19:41:05,California,None,None
1384954873263894530,I’ve never been so happy to be stabbed. Fully #vaccinated!!! #Moderna #VaccinesSaveLives,2021-04-21 19:39:07,Texas,Tarrant County,Fort Worth
1384954837293490177,COVID-19: What is the difference between the #Pfizer vaccine and #Moderna ... https://t.co/w8r0Wgl3St via @YouTube,2021-04-21 19:38:59,California,Ventura County,None
1384954717105704963,Live look at me getting my second dose. #vaccinated #Moderna https://t.co/tmHhR6Vtvv,2021-04-21 19:38:30,Georgia,None,None
1384952966122295296,Paws up celebrating that second dose. 💉💉 #Moderna #Dolly https://t.co/CqcseTHhkx https://t.co/hznfzagyj3,2021-04-21 19:31:32,California,Los Angeles County,Los Angeles
1384952448863899648,"Circle, circle, dot, dot...
I’ve never been so glad 
to have been hit by a truck.
#Moderna",2021-04-21 19:29:29,California,Santa Clara County,Cupertino
1384951912064339975,"We did it, Joe. We got vaccinated. 💉🎉 #BidenHarris2020 #VaccinatedTop #BelieveInScience #Moderna @JoeBiden @POTUS… https://t.co/Tq9SQryyJc",2021-04-21 19:27:21,Illinois,Cook County,Chicago
1384950878298386434,"If you’re wondering, yes I still got #vaccinated. 2nd dose of #Moderna. I can’t say enough good things about the… https://t.co/j0lyhnpBn1",2021-04-21 19:23:15,California,Alameda County,Oakland
1384948998755307523,Got my #2ndDose #DollyShot #Moderna #FullyVaxxed #FauciOuchie https://t.co/VhaSebeRDu,2021-04-21 19:15:47,Minnesota,Ramsey County,St Paul
1384946728525254660,Thank you science!! #Moderna #dosetwo #shottwo #FullyVaccinated #14daywaitingperiod #seconddose  #CovidVaccine #Covid,2021-04-21 19:06:45,North Carolina,None,None
1384946120082735105,So this is a significant side effect for a lot of us that I’m sure will be written off. It’s more than an inconveni… https://t.co/mieLlrVRQr,2021-04-21 19:04:20,Colorado,Denver County,Denver
1384945442748780553,Got second dose! Thanks #Science #Moderna and everyone who made it possible. #mRNA,2021-04-21 19:01:39,New York,New York County,New York
1384945238989492226,For anyone who hasn’t been vaccinated yet in LA area: AHF on La Cienega is offering Moderna. Please call them direc… https://t.co/gTxs2MJ23l,2021-04-21 19:00:50,California,Los Angeles County,Los Angeles
1384945011238838275,Got my #CovidVaccine today! #Moderna version.  So far so good. Nothing worse than all the shots I had in the milita… https://t.co/4tJJRVfNlg,2021-04-21 18:59:56,North Carolina,Mecklenburg County,Charlotte
1384943650594041858,"@TDEMomof3 Yay!

Getting my second #Moderna next week",2021-04-21 18:54:31,California,Los Angeles County,Los Angeles
1384943240009428992,Just got my second shot of the #Moderna #COVID19Vaccine Bracing for side effects. Done until a booster is needed. https://t.co/bdUaqpX8LR,2021-04-21 18:52:54,Florida,Broward County,Hollywood
1384942929018556418,2nd jab done. #moderna #5Gtracker #suckitantivaxxers,2021-04-21 18:51:39,New York,New York County,New York
1384941945793957888,@DogginTrump 👋🏼Fully vaccinated as of Monday.#Moderna #COVIDVaccination,2021-04-21 18:47:45,North Carolina,Mecklenburg County,Charlotte
1384941301699858432,"Got my 2nd vaccination!!!!

#Moderna",2021-04-21 18:45:11,North Carolina,Wake County,Raleigh
1384941093192708096,"Vaccine Dose 1 down! Do your thing to protect me immune system! 

#highriskcovid19 #autoimmunedisease 
#moderna… https://t.co/bSiNI7dKYN",2021-04-21 18:44:22,Illinois,Cook County,Chicago
1384939285556645891,"feeling like hot garbage 24 hrs after my first dose but KISS MY VAXX, COVID 🧪

sponsored (but not really) by Dolly… https://t.co/srbAMn34x8",2021-04-21 18:37:11,Minnesota,None,None
1384939146670743555,"Special-#thanks to #DRKizzmekiaCorbett , for #donating #time to #NCschools (including the #NC #Community Colleges s… https://t.co/EuWrOOHWff",2021-04-21 18:36:38,North Carolina,Wake County,Raleigh
1384938190713282562,#JinWicked has joined Team #Moderna! 💉  #vaccinated,2021-04-21 18:32:50,Minnesota,Ramsey County,St Paul
1384937975629459456,"First shot done!

#moderna #vaccine #1stshot #besafe #GetVaccinated https://t.co/pJ5Y6YAG0w",2021-04-21 18:31:58,California,San Bernardino County,Yucaipa
1384937226715414530,Second round done. Ready to test wireless reception! #CovidVaccine #Moderna,2021-04-21 18:29:00,North Carolina,Henderson County,Hendersonville
1384936933848195079,"Got my first shot of #Moderna #vaccine today! 
#WearAMask https://t.co/g8ANHWbjK5",2021-04-21 18:27:50,New Hampshire,Grafton County,Hanover
1384936637788983298,#Moderna vaccines are available on all campuses for @ASU students! Vaccination appointments are offered daily. 🔱… https://t.co/P2um3zS1tH,2021-04-21 18:26:39,Arizona,Maricopa County,Gilbert
1384936047004602368,@KelleyPersonal @MenInKiltsSTARZ @SamHeughan @grahammctavish I had a reaction to the #Moderna vaccine...massive body aches.,2021-04-21 18:24:19,Virginia,Fredericksburg City,Fredericksburg
1384935628736016384,Got my second #Moderna shot earlier. The nurse didn’t have a bandaid for me so I asked if she’d kiss it and make it… https://t.co/m5XfEBLB7D,2021-04-21 18:22:39,Michigan,Oakland County,Novi
1384935371352551431,Team Vaccine shirts are here!  Which team are you reppin'?  Only $20 and free shipping!  Order now… https://t.co/1Kl2tSY7ip,2021-04-21 18:21:38,California,None,None
1384934980963422208,Shot number two is done! #Moderna,2021-04-21 18:20:04,Kansas,None,None
1384934373032660996,2nd does of #Moderna done! #GetVaccinated https://t.co/pJNV1mWYmh,2021-04-21 18:17:40,California,None,None
1384934309929308162,"Can't stress this enough! 🙏

#TruthMatters #GetVaccinated #CovidVaccine #COVID19 #vaccine #vaccines #COVID… https://t.co/5nQHMUYah9",2021-04-21 18:17:24,California,None,None
1384932064865226752,"Surprise!! I was able to snag an earlier appointment for my first poke! Take that, COVID! 1 step closer! 😁… https://t.co/jCJz7rdX8I",2021-04-21 18:08:29,Washington,King County,Seattle
1384930498154319875,"@POTUS Hi, Mr Biden do that apply for us part time workers because my last shot made me sick #Moderna vaccine .",2021-04-21 18:02:16,None,None,None
1384928439086505985,Ohio is shitty and cold and snowy so the only good reason to go outside today is to get vaccinated! #Moderna… https://t.co/33BYzjg8MB,2021-04-21 17:54:05,Ohio,None,None
1384928183661776902,Joined Club #Moderna with two shots. Feel like I just woke up after an EDM concert.,2021-04-21 17:53:04,Georgia,Fulton County,Atlanta
1384927873400717312,Second dose of #moderna done! Still so impressed by the efficiency of the drive-thru vaccine sites. Big thanks to a… https://t.co/3paBZOeH2x,2021-04-21 17:51:50,Texas,Travis County,Austin
1384927389449441282,"2nd shot ✅ So #Grateful to the #Scientists &amp; #HealthWorkers, #Volunteers #Moderna - stop the spread #GetVaccinated https://t.co/pip2bX7xqz",2021-04-21 17:49:55,California,Los Angeles County,Los Angeles
1384927105293684739,Update: still feel like shit but chills have passed.  Still super weak and achey.  Waiting on @UberEats to deliver.… https://t.co/sOSSs05Vw7,2021-04-21 17:48:47,Texas,Travis County,Austin
1384927017037144069,"Expected to feel like crap today after 2nd Moderna shot, but other than tingly/sore arm, no problems! 
On May the F… https://t.co/Rsl32yXWPh",2021-04-21 17:48:26,Texas,Harris County,Houston
1384927005230215171,"@Sloths7777 First done #Moderna 

Second on May 6th",2021-04-21 17:48:23,Iowa,None,None
1384924978425040900,First shot done! #GetVaccinated #Moderna https://t.co/72b5VFdMpA,2021-04-21 17:40:20,Nevada,Clark County,Las Vegas
1384924801693855745,"💉 down, 💉 to go!

#Moderna #GetVaccinated !!",2021-04-21 17:39:38,Maryland,Baltimore City,Baltimore
1384923699523072004,"Register for you vaccine today! It will be the #Moderna. 
https://t.co/a94b49zreM 
@704_SPCLC #Charlotte… https://t.co/ZBvmQN1SNr",2021-04-21 17:35:15,North Carolina,None,None
1384923138107056135,"I have been in so much agony. 

I think my #Moderna shot triggered a migraine. This is the longest one I've ever ha… https://t.co/kM17eeAHt3",2021-04-21 17:33:01,Texas,Dallas County,Dallas
1384922131729895424,Shot 2 in the bag! (In the arm actually) #Moderna #COVID19Vaccination #vaccinated https://t.co/PyBoaKYurS,2021-04-21 17:29:01,North Carolina,Durham County,Durham
1384921851240005634,Ugh. The day after the second dose. Feels like the flu has a hangover. Every joint in my body hurts. Not a fan. #COVIDVaccination #Moderna,2021-04-21 17:27:54,Colorado,None,None
1384920153821958146,I'm officially a #Moderna convert. #vaccinated My arm still a bit #FauciOuchie.  #VaccinesSaveLives,2021-04-21 17:21:09,Hawaii,None,None
1384919718314795010,@itslizhannah @vincentdonofrio I’m the day after #Moderna 2nd dose right now and I feel like the front bumper at a… https://t.co/3FYkzFgzQp,2021-04-21 17:19:26,Illinois,None,None
1384918232298147843,Me 24+ hrs after #Moderna 2nd dose. #chills https://t.co/XqfXaacIFv,2021-04-21 17:13:31,North Carolina,Buncombe County,Asheville
1384918143521394689,My second shot done. Now to see if i fully get my second mutation. #Moderna https://t.co/WIPfqOGkbE,2021-04-21 17:13:10,New York,Kings County,Brooklyn
1384917998176243712,Second vaccine done! #Moderna,2021-04-21 17:12:35,New York,New York County,New York
1384917897114537988,"Join us for a free webinar on COVID-19 vaccines and the workplace:   Tomorrow- Thursday April 22 , 1 pm EDT… https://t.co/RUIjga8VeI",2021-04-21 17:12:11,None,None,None
1384917603450302468,Just got my second dose of the #Moderna vaccine! Very proud to have the vaccine with a pun for a name and that… https://t.co/z1NaVwYKZF,2021-04-21 17:11:01,California,Los Angeles County,Santa Monica
1384917548718755843,@Sloths7777 Second dose 2 weeks ago! :) #Moderna,2021-04-21 17:10:48,District of Columbia,District of Columbia,Washington
1384916037037084679,Today marks two weeks since #Moderna  shot 2 - which (unless I’m mistaken) means I am officially fully vaccinated!!… https://t.co/7ZGKKUjdxp,2021-04-21 17:04:48,Utah,Salt Lake County,Salt Lake City
1384915906250301440,"Dose 2 done! Normal life, I’m coming for you next! #Moderna #GetVaccinated",2021-04-21 17:04:17,Minnesota,None,None
1384915213896519680,Thank you @KizzyPhD for your innovation in science and working alongside your colleagues to develop such a vaccine.… https://t.co/bL23kbEBJI,2021-04-21 17:01:32,None,None,None
