id,text,created_at,state,county,city
1384935523609939970,"FULLY VACCINATED!!! 💉

#Pfizer #COVIDVaccine",2021-04-21 18:22:14,California,Los Angeles County,Los Angeles
1384935371352551431,Team Vaccine shirts are here!  Which team are you reppin'?  Only $20 and free shipping!  Order now… https://t.co/1Kl2tSY7ip,2021-04-21 18:21:38,California,None,None
1384934742324285444,First dose down! #Pfizer,2021-04-21 18:19:08,California,None,None
1384934439889813509,😷MY #Covid_19 JOURNEY😷 159 days since testing positive and today I got my second #Pfizer vaccine thanks to… https://t.co/G7q4rbQxPM,2021-04-21 18:17:55,Kentucky,Jefferson County,Louisville
1384934309929308162,"Can't stress this enough! 🙏

#TruthMatters #GetVaccinated #CovidVaccine #COVID19 #vaccine #vaccines #COVID… https://t.co/5nQHMUYah9",2021-04-21 18:17:24,California,None,None
1384933128104513537,#FullyVaccinated!!! #OneMoreWay #Pfizer #DaffyDuckBandaid @ Karsh Alumni &amp; Visitor’s Center at Duke University https://t.co/1sTQjqH928,2021-04-21 18:12:43,North Carolina,Durham County,Durham
1384932965499736069,Fully vaccinated! Thank you #pfizer and the amazing men and women of the #CDC #newyorkstatedepartmentofhealth and t… https://t.co/zQbYlwZb2R,2021-04-21 18:12:04,New York,None,None
1384932446832140288,"2nd shot done

I can feel my LTE phone running at 5G speed!

#Pfizer https://t.co/5nIYwYpG4L",2021-04-21 18:10:00,California,None,None
1384930623467491329,1st shot Done! #pfizer #belmontpark #horses #equine #beautifulplace #vaccine #vaccinationdone✔️ #ᴠᴀᴄᴄɪɴᴇssᴀᴠᴇʟɪᴠᴇs https://t.co/AIUhqrzbwh,2021-04-21 18:02:46,New York,Nassau County,Long Beach
1384930580979200000,"2nd dose: ✔️
No cool sticker for me. But seriously, so thankful to take one step closer towards normal.… https://t.co/jClhgU6OHy",2021-04-21 18:02:35,District of Columbia,District of Columbia,Washington
1384930093621993473,"Dawn is just one of the amazing nurses at the community vaccination center at 7201 Two Notch Road in Columbia.

She… https://t.co/FmC7dndbIT",2021-04-21 18:00:39,South Carolina,None,None
1384929718349279232,#Albany Times Union Center #COVID19Vaccine #Pfizer POD open tomorrow (Thurs.) to walk-ins between 2pm and 6pm. https://t.co/9pQSAa87Zc,2021-04-21 17:59:10,New York,Albany County,Albany
1384929666931232768,"Getting ready for #Pfizer shot 2 in a few minutes. 
Thank you~! @POTUS @JoeBiden 

I really thought 100M shots in 1… https://t.co/UixqorYSgH",2021-04-21 17:58:58,Michigan,None,None
1384929562249867273,"feeling like a bus hit me after this 2nd dose. i’d still get vaccinated any day over having covid, though. #Pfizer",2021-04-21 17:58:33,Kansas,Wyandotte County,Kansas City
1384927972092678159,@funder Yes both #Pfizer shots.,2021-04-21 17:52:13,Illinois,Winnebago County,Rockford
1384927256217276417,@DrEricDing Fully Vaccinated #Pfizer and still concerned about #CovidVariants - I continue to practice ALL… https://t.co/K3cxvPfsGB,2021-04-21 17:49:23,None,None,None
1384927189230133253,"That makes 2! 
#vaccinated #Pfizer https://t.co/tHb93Tderb",2021-04-21 17:49:07,Florida,Hillsborough County,Tampa
1384926901970653184,"@rosariodawson I had hoped to be home in Minnesota today to pay my respects in person. It just wasn’t in the cards,… https://t.co/5KJ3mazQhq",2021-04-21 17:47:58,Nevada,Clark County,Las Vegas
1384925710146576386,"#ᴠᴀᴄᴄɪɴᴇssᴀᴠᴇʟɪᴠᴇs 
#pfizer 
#firstdosedone💉✔️ @ New York State https://t.co/NiWQNZAsXh",2021-04-21 17:43:14,New York,None,None
1384925573357752320,What they don’t tell you. #PfizerVaccine #Pfizer https://t.co/z9ySGOF7j5,2021-04-21 17:42:42,Minnesota,None,None
1384925502209675265,"VAV Lifesciences Pfizer supplies major COVID vaccine component to Moderna
https://t.co/SORbKcdEO3
#CovidVaccine… https://t.co/G0gQTTYgJq",2021-04-21 17:42:25,Pennsylvania,Dauphin County,Susquehanna
1384924590619697154,"If you could see my face, I would be smiling. 2nd dose, done and dusted.
*
*
*
*
*
#wegotthis #vaccineday… https://t.co/Of9I5ukk36",2021-04-21 17:38:47,Washington,King County,Seattle
1384924531798773760,"Very happy to get #Pfizer shot #2 done. One more step back to normal!

#CovidVaccine #FullyVaccinated #DoingMyPart… https://t.co/VAA9DbGP7T",2021-04-21 17:38:33,Ohio,Hamilton County,Cincinnati
1384923943077883904,First #Pfizer shots in the books! Easy process and only a mildly sore shoulder to report -- please get vaccinated a… https://t.co/5KIkHr7xiD,2021-04-21 17:36:13,California,San Diego County,San Diego
1384922875564642309,"I’ve been vaccinated!
#Pfizer https://t.co/B4qITCbuke",2021-04-21 17:31:58,California,Merced County,Merced
1384922761714405380,"I received my 2nd @pfizer vaccine shot today at the #Alamodome. 💉💪

Thank you to all @SATXFire, medical staff, and… https://t.co/rkhk7L01t5",2021-04-21 17:31:31,Texas,Bexar County,San Antonio
1384922268917276674,Got our second vaccine shot today! Thankful that it went smoothly and orderly. #pfizer #covidvacccine… https://t.co/JSYpGQUTG7,2021-04-21 17:29:34,New York,Queens County,Astoria
1384921812077797376,"I got stabbed in an Albertson’s this morning! How you doin?
.
.
.
.
.
.
.
.
.
.
.
#vaccinationdone✔️ #firstdosedone… https://t.co/YxjHA19No0",2021-04-21 17:27:45,California,Orange County,Irvine
1384921504324980737,Got my second vaccine shot today! #pfizer #covidvacccine #igottheshotnyc @ 36-36 33st https://t.co/El7upkdk16,2021-04-21 17:26:31,New York,Queens County,Astoria
1384921269959806978,"The content face of a fully vaccinated lady! Prepare for all of the hugs after May 5th. 
#pfizer #fullyvacinnated… https://t.co/z1MMitBKx0",2021-04-21 17:25:36,Ohio,Cuyahoga County,Cleveland
1384920964324941831,"What a hero this lady is..Thank You for discovering the first vaccine..
#Biontech #BioNTechpfizer #Pfizer #vaccines https://t.co/ud5SVwwVyS",2021-04-21 17:24:23,New York,Bronx County,Bronx
1384920653074210818,Got the #Pfizer vaccine. Dident even feel it and no side effects. I needed this because I have pretty hardcore asth… https://t.co/BlkCpBWeMr,2021-04-21 17:23:08,New York,Niagara County,North Tonawanda
1384917744131444736,Second dose of the pfizer vaccine today. I'll keep the mask on and do my part.👍👍👍 #Pfizer #VaccinesSaveLives #GetVaccinated #COVID19Vaccine,2021-04-21 17:11:35,Tennessee,None,None
1384917517941022723,Second shot in the arm! Thanks again @BostonChildrens #PfizerProud #Pfizer https://t.co/IzlDEJlDUq,2021-04-21 17:10:41,Massachusetts,Suffolk County,Boston
1384917355357220869,"#Pfizer’s Kathrin Jansen, Stanford’s @drfeifei, the CDC’s Anne Schuchat, and Priscilla Chan of the Chan Zuckerberg… https://t.co/lL4W9Ajmfh",2021-04-21 17:10:02,None,None,None
1384916923956269056,Dose 2 done! #FullyVaccinated #Pfizer https://t.co/o7lhKV3CGu,2021-04-21 17:08:19,New York,New York County,Manhattan
1384913776659636226,First one down! #Vaccine #Pfizer @ Glendale Memorial Hospital https://t.co/MIP7Q1vM9K,2021-04-21 16:55:49,California,None,None
1384913763745341442,2 shots! Woohoo! #Pfizer https://t.co/PjH0ZEMZjr,2021-04-21 16:55:46,Connecticut,None,None
1384913300585160705,"#Pfizer number two in the arm! 💉💉💪😊
Volunteers were saying to stay hydrated. Vax admin told me to move the arm around to avoid soreness. OK",2021-04-21 16:53:55,None,None,None
