id,text,created_at,state,county,city
1384971685800169472,"“Is the #COVID #Vaccine Safe for Children? 
#Pfizer Says Side Effects Similar to Young Adults” https://t.co/nnm3zKJO0C",2021-04-21 20:45:56,None,None,None
1384971635380342790,Thanks for the invite and opportunity to share the work we are doing on #covid19 #vaccination #equalities and… https://t.co/ItWcYuvyOp,2021-04-21 20:45:44,Massachusetts,Worcester County,Rochdale
1384971274846363649,Russia's #Sputnik_V #Vaccine 97.6% Effective in Real-World Study https://t.co/TOJmgYBSZ6,2021-04-21 20:44:18,New York,New York County,Manhattan
1384971140662185990,"One #Moderna shot down, one to go!

On a related note, I once worked on a video game about #QueueingTheory There's… https://t.co/7OeNleNO5X",2021-04-21 20:43:46,California,None,None
1384970830438879232,Not sure about getting the #COVID19 vaccine? Join #BowieState + MD Vaccine Equity Task Force + RISE for an informat… https://t.co/9hYSWCMCRh,2021-04-21 20:42:32,Maryland,Prince George's County,Bowie
1384970562406125572,We’re not out of the ‘weeds’ yet. But #Marijuana supporters celebrated 4/20 by handing out free joints in Union Squ… https://t.co/mtmx10gbnO,2021-04-21 20:41:28,New York,New York County,New York
1384970349071290368,200 million #vaccine shots 92 days in. I love my President. @POTUS @JoeBiden,2021-04-21 20:40:37,Oregon,None,None
1384970229726523395,"@funder Yes. I wore my mask to get my second shot today.🎉💉
#MaskUp #vaccine #seconddose https://t.co/UleonIkGbz",2021-04-21 20:40:08,None,None,None
1384970148172517383,No registration is not required for this event. Residents may walk in for service. Vaccines will be free of charge… https://t.co/NqtQO0AGO4,2021-04-21 20:39:49,Florida,Miami-Dade County,North Miami
1384970107642949635,Don’t give up your shot. I got mine - go get yours. Let’s end this pandemic together. #COVID19 #Vaccine… https://t.co/Te9Yt6Pm0N,2021-04-21 20:39:39,California,Los Angeles County,Los Angeles
1384968935133560833,Scientist who helped develop Pfizer-BioNTech Covid vaccine agrees third shot is needed as immunity wanes! $PFE… https://t.co/HHTzCDsGlI,2021-04-21 20:35:00,New York,New York County,New York
1384968890514608128,I was torn between getting vaccinated and not getting vaccinated..... I have an underlying health condition so I ch… https://t.co/tnUEEbIDeJ,2021-04-21 20:34:49,North Carolina,None,None
1384968857689919499,Check out what @ElaineVarelas has to say about #vaccine status and returning to your place of work #careeradvice https://t.co/lwC9iqLLml,2021-04-21 20:34:41,Massachusetts,Suffolk County,Boston
1384968847808159744,"Immunocompromised people, or those who've had  severe reaction to prior #vaccine CANNOT #GetVaccinated. For them, p… https://t.co/r6FpFboEWG",2021-04-21 20:34:39,California,None,None
1384968726815166464,#MSSNY #eNews: New Executive Order Eliminates Penalty for not Administering #COVID #Vaccine within 7 Days https://t.co/NUn4gtHLyb @docblp,2021-04-21 20:34:10,New York,Nassau County,Westbury
1384968625229115402,"42 appointments at 1st and 2nd Dose - Moderna and Pfizer - Anadarko - Caddo County Health Department
#Oklahoma… https://t.co/cYF2TWeI30",2021-04-21 20:33:46,Oklahoma,None,None
1384968395775414277,New polling data from @votolatino @mmfa shows that @facebook is primary driver of #vaccine #disinformation in Latin… https://t.co/CUXl14QGrh,2021-04-21 20:32:51,California,Los Angeles County,Los Angeles
1384968385025413120,I got my vaccine today! I'm looking forward to being able to #travel &amp; gather with my extended family again! Gettin… https://t.co/NfbOrdb5dH,2021-04-21 20:32:49,Georgia,Fulton County,Atlanta
1384967643497652231,"it is good to connect with #joy and #gratitude.

today, me and my crooked mask receive the first dose of the… https://t.co/kBGmfvmbol",2021-04-21 20:29:52,California,None,None
1384967132996374534,RETWEET: While we have reached an important milestone of 50% of eligible residents receiving at least one #Covid… https://t.co/uGgIE4NbCI,2021-04-21 20:27:50,Iowa,Polk County,Des Moines
1384967076931059713,"Please, everyone, get your #vaccine ! There are plenty of appointments available and y’all are eligible now. #NoExcuses",2021-04-21 20:27:37,New York,None,None
1384966796151775236,#COVID #Vaccine shot #2! Go get yours too so we can all get back to a more familiar life! https://t.co/0YT7tLUdnq,2021-04-21 20:26:30,Florida,None,None
1384966587258753024,"We should wait for more data to conclude, but if we need annual shots, let's combine #COVID19Vaccine with… https://t.co/iTuv6ik9ZP",2021-04-21 20:25:40,Nevada,Clark County,Las Vegas
1384966212539584512,"The COVID-19 vaccine is free to all, and your info is safe.
Getting the #vaccine will not impact your current or fu… https://t.co/XFFRsVJNVh",2021-04-21 20:24:11,California,Los Angeles County,Pico Rivera
1384965661814820867,"You shouldn't have to speak English to get a #COVID19 vaccine. But for many underserved patients, a lack of transla… https://t.co/InjqVSsdeE",2021-04-21 20:21:59,Virginia,Arlington County,Arlington
1384965579795320834,"In our latest #InoculationNation update, 31 states experienced a decline in their #COVID19 vaccination rates since… https://t.co/NnqNchh4Il",2021-04-21 20:21:40,Minnesota,Ramsey County,St Paul
1384964950867730436,Finally (and proudly) got the #covid shot ball rolling! Fingers crossed for light side effect profile! Horray for… https://t.co/atWOAGZPpl,2021-04-21 20:19:10,Minnesota,Hennepin County,Minneapolis
1384964906701688832,"Me: *gets COVID vaccine*

Me: Wow, Bill Gates is suddenly really handsome...and maybe Internet Explorer really IS t… https://t.co/zHFWJ7UjLt",2021-04-21 20:18:59,Georgia,Clarke County,Athens
1384964859201265666,"Serious question what is the health risk of 
Sars-Cov-2 if you are a healthy teenager? 
What are the risks from cer… https://t.co/q6xstVOK2T",2021-04-21 20:18:48,Nebraska,None,None
1384964588727414788,Fully vaccinated now and I've never been more connected to the internet before. I can see only 1s and 0s. #vaccine,2021-04-21 20:17:44,Texas,Dallas County,Dallas
1384964199193907204,"Wait a second, if no #vaccine produced at the plant that had the contaminated Johnson &amp; Johnson batch were ever dis… https://t.co/ISWm1W6KF5",2021-04-21 20:16:11,Pennsylvania,Berks County,Kutztown
1384964152121233408,@EA_973 @LiberaceWizzle my farts have wifi now #vaccine,2021-04-21 20:15:59,Colorado,Denver County,Denver
1384963939042271234,👍 People want to know: Is it safe to get the #COVID19 #vaccine during #Ramadan? The answer is a definite YES. Imam… https://t.co/sFAx9ARaV0,2021-04-21 20:15:09,Minnesota,Hennepin County,Minneapolis
1384963878971494401,"found a second #vaccine appt 12 miles away (vs. 70, as scheduled). Just got my first party invitation in 13 months. Things are looking up!",2021-04-21 20:14:54,California,Los Angeles County,Los Angeles
1384963866266902531,@aginnt @CDCDirector #Fauci needs to #resign with his confusing messaging. Either the #vaccine works or it doesn’t.,2021-04-21 20:14:51,Illinois,None,None
1384962889904164864,"Keep those masks on 🇺🇸 
31,821,943 Infected with SARS-CoV-2+ 58,955 
14-day trend, Apr 7–20: +949,493 
Deaths: 568,… https://t.co/ymZnRTDXfW",2021-04-21 20:10:58,Colorado,None,None
1384962856941129730,WMAR: Baltimore Activists React To Derek Chauvin Verdict https://t.co/XNQTDuNoNO #Education #Federal #State #Local… https://t.co/WGdBwI80lp,2021-04-21 20:10:51,District of Columbia,District of Columbia,Washington
1384962856710443011,KMGH: Colorado Activists Say The Fight For Justice Isn't Over https://t.co/mnhfcdN0Aw #Education #Federal #State… https://t.co/P85KWP5col,2021-04-21 20:10:51,District of Columbia,District of Columbia,Washington
1384962856257572866,Are Mobile Learning Apps Changing Modern Education? https://t.co/Xq0dF0MlqW #Education #Federal #State #Local #News… https://t.co/vBykNY2ARA,2021-04-21 20:10:50,District of Columbia,District of Columbia,Washington
1384962446474031106,Pfizer Identifies Fake Covid-19 Shots Abroad as Criminals Exploit Vaccine Demand - Find more stories like this at… https://t.co/0jAKsmGLWa,2021-04-21 20:09:13,California,San Diego County,San Diego
1384962144572166153,"Getting the #COVID19 #vaccine is the best way to protect our community and loved ones. 
Visit the @DesertFinancial… https://t.co/vz8K10NUaG",2021-04-21 20:08:01,Arizona,Maricopa County,Tempe
1384962141564936194,"People say I'm not a patient person. Well, I drove 610 miles twice, to get vaccinated earlier than the knuckleheads… https://t.co/WfPSezkA1o",2021-04-21 20:08:00,California,None,None
1384961898450464769,"Getting my second Pfizer shot tomorrow, and I’m still not returning any phone calls or doing shit. The quarantine l… https://t.co/CQ9xwZw5Eq",2021-04-21 20:07:02,North Carolina,Wake County,Raleigh
1384961451681517573,Got my first shot of the covid-19 #vaccine today. #GetVaccinated,2021-04-21 20:05:16,Washington,King County,Redmond
1384961409314926594,"Learn more in our #Coronavirus briefing 👉https://t.co/uaIlRseAg6.

#covid19 #pandemic #vaccine #vaccination… https://t.co/iPNvakyang",2021-04-21 20:05:05,Pennsylvania,None,None
1384961203798257666,"For the first year, the Michelson Prizes are accepting proposals in two areas: #Climate Change and Human Immunology… https://t.co/ZbtvDGur7n",2021-04-21 20:04:16,New York,New York County,New York
1384960932800077826,"Ok he didn’t get vaxxed, but I got my 2nd shot today. He’s cuter than I am so he gets the obligatory vaccine photo… https://t.co/eV5TlmzCzM",2021-04-21 20:03:12,Tennessee,Davidson County,Nashville
1384960893285453824,High demand for #Covid-19 vaccine has given criminals an opportunity to sell #counterfeit shots to unsuspecting peo… https://t.co/quVE4W6gDA,2021-04-21 20:03:02,Texas,Bexar County,San Antonio
1384960816529788932,Is J &amp; J safe? @arthelNeville @ANHQDC @Foxnews #vaccine #covid #stopthespread #nydoctor #health #healthytips… https://t.co/ou8kHijh0v,2021-04-21 20:02:44,New York,New York County,New York
1384960596135882753,"And for the second time my appointment has been cancelled! Two different pharmacies, what is going on? #HamOnt… https://t.co/1eifcBpYYl",2021-04-21 20:01:52,Alabama,Marion County,Hamilton
1384960434634113025,Most #employees aren’t comfortable yet – in the office or at home. Among the newest stressors: #vaccine worries.… https://t.co/UychSdvmeP,2021-04-21 20:01:13,Indiana,Marion County,Indianapolis
1384960391516758016,"Incoming Data Look Robust - It's a Mirage 
by Robert Barone, Ph.D &amp; Joshua Barone 
(#Reprise from April 12, 2021)… https://t.co/EwRWF37IIc",2021-04-21 20:01:03,Nevada,None,None
1384960379554516993,Me getting ready for my #vaccine appointment: https://t.co/vNrjjqI1ZL,2021-04-21 20:01:00,Arizona,Maricopa County,Mesa
1384960217062989828,"Latest #covid #vaccine data from @ALPublicHealth: 3,600,855 doses delivered to Alabama, 2,308,412 doses administere… https://t.co/aSaHBmygCI",2021-04-21 20:00:21,Alabama,Jefferson County,Birmingham
1384960186322989058,A great article discussing the  #vaccine-#vaccination paradox which suggests that the truly hard sciences are those… https://t.co/3BcxVm0eL8,2021-04-21 20:00:14,California,Santa Clara County,Palo Alto
